"filename", "language", "Java", "comment", "blank", "total"
"/Users/yuhyunkim/Documents/APCOMPSCIPROJECT/HackerGame/HackerGame/bin/main/Player.class", "Java", 2, -2, 0, 0
"Total", "-", 2, -2, 0, 0
